identifier,electrolyte_type,component_names,existing_yaml_tags,inferred_svg_tags,yaml_file,svg_file
li_2000_chronocoulometric_95_f1_dashed,aqueous,HClO4; water; KClO4; KCl,BCV,"BCV, SHA",literature/svgdigitizer/li_2000_chronocoulometric_95/li_2000_chronocoulometric_95_f1_dashed.yaml,literature/svgdigitizer/li_2000_chronocoulometric_95/li_2000_chronocoulometric_95_f1_dashed.svg
li_2000_chronocoulometric_95_f1_dotted,aqueous,HClO4; water; KClO4; KCl,BCV,"BCV, SHA",literature/svgdigitizer/li_2000_chronocoulometric_95/li_2000_chronocoulometric_95_f1_dotted.yaml,literature/svgdigitizer/li_2000_chronocoulometric_95/li_2000_chronocoulometric_95_f1_dotted.svg
li_2000_chronocoulometric_95_f1_solid,aqueous,HClO4; water; KClO4,BCV,BCV,literature/svgdigitizer/li_2000_chronocoulometric_95/li_2000_chronocoulometric_95_f1_solid.yaml,literature/svgdigitizer/li_2000_chronocoulometric_95/li_2000_chronocoulometric_95_f1_solid.svg
lipkowski_1998_ionic_2875_f1a_br,aqueous,KClO4; water; KBr,BCV,"BCV, SHA",literature/svgdigitizer/lipkowski_1998_ionic_2875/lipkowski_1998_ionic_2875_f1a_br.yaml,literature/svgdigitizer/lipkowski_1998_ionic_2875/lipkowski_1998_ionic_2875_f1a_br.svg
lipkowski_1998_ionic_2875_f1a_cl,aqueous,KClO4; water; KCl,BCV,"BCV, SHA",literature/svgdigitizer/lipkowski_1998_ionic_2875/lipkowski_1998_ionic_2875_f1a_cl.yaml,literature/svgdigitizer/lipkowski_1998_ionic_2875/lipkowski_1998_ionic_2875_f1a_cl.svg
lipkowski_1998_ionic_2875_f1a_i,aqueous,KClO4; water; KI,BCV,"BCV, SHA",literature/svgdigitizer/lipkowski_1998_ionic_2875/lipkowski_1998_ionic_2875_f1a_i.yaml,literature/svgdigitizer/lipkowski_1998_ionic_2875/lipkowski_1998_ionic_2875_f1a_i.svg
lipkowski_1998_ionic_2875_f1a_so4,aqueous,HClO4; water; K2SO4,BCV,BCV,literature/svgdigitizer/lipkowski_1998_ionic_2875/lipkowski_1998_ionic_2875_f1a_so4.yaml,literature/svgdigitizer/lipkowski_1998_ionic_2875/lipkowski_1998_ionic_2875_f1a_so4.svg
mello_2018_bromide_18562_f1a_black,aqueous,HClO4; water; KClO4,BCV,BCV,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1a_black.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1a_black.svg
mello_2018_bromide_18562_f1a_red,aqueous,HClO4; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1a_red.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1a_red.svg
mello_2018_bromide_18562_f1b_black,aqueous,HClO4; water; KClO4,BCV,BCV,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1b_black.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1b_black.svg
mello_2018_bromide_18562_f1b_red,aqueous,HClO4; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1b_red.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1b_red.svg
mello_2018_bromide_18562_f1c_black,aqueous,Na2HPO4; water; NaH2PO4,BCV,BCV,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1c_black.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1c_black.svg
mello_2018_bromide_18562_f1c_red,aqueous,Na2HPO4; water; NaH2PO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1c_red.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1c_red.svg
mello_2018_bromide_18562_f1d_black,aqueous,Na2HPO4; water; NaH2PO4,BCV,BCV,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1d_black.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1d_black.svg
mello_2018_bromide_18562_f1d_red,aqueous,Na2HPO4; water; NaH2PO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1d_red.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1d_red.svg
mello_2018_bromide_18562_f1e_black,aqueous,Na2HPO4; water; NaH2PO4,BCV,BCV,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1e_black.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1e_black.svg
mello_2018_bromide_18562_f1e_red,aqueous,Na2HPO4; water; NaH2PO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1e_red.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1e_red.svg
mello_2018_bromide_18562_f1f_red,aqueous,Na2HPO4; water; NaH2PO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1f_red.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1f_red.svg
mello_2018_bromide_18562_f1g_black,aqueous,NaOH; water; KClO4,BCV,BCV,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1g_black.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1g_black.svg
mello_2018_bromide_18562_f1g_red,aqueous,NaOH; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1g_red.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1g_red.svg
mello_2018_bromide_18562_f1h_black,aqueous,NaOH; water; KClO4,BCV,BCV,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1h_black.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1h_black.svg
mello_2018_bromide_18562_f1h_red,aqueous,NaOH; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1h_red.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1h_red.svg
mello_2018_bromide_18562_f1i_black,aqueous,NaOH; water; KClO4,BCV,BCV,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1i_black.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1i_black.svg
mello_2018_bromide_18562_f1i_red,aqueous,NaOH; water; KClO4; KBr,BCV,"BCV, SHA",literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1i_red.yaml,literature/svgdigitizer/mello_2018_bromide_18562/mello_2018_bromide_18562_f1i_red.svg
nakamura_2011_structure_165433_f1a_green,aqueous,KBr; water; KOH,BCV,"BCV, SHA",literature/svgdigitizer/nakamura_2011_structure_165433/nakamura_2011_structure_165433_f1a_green.yaml,literature/svgdigitizer/nakamura_2011_structure_165433/nakamura_2011_structure_165433_f1a_green.svg
nakamura_2011_structure_165433_f1a_red,aqueous,CsBr; water; CsOH,BCV,"BCV, SHA",literature/svgdigitizer/nakamura_2011_structure_165433/nakamura_2011_structure_165433_f1a_red.yaml,literature/svgdigitizer/nakamura_2011_structure_165433/nakamura_2011_structure_165433_f1a_red.svg
