identifier,electrolyte_type,component_names,svg_tags
domke_2003_determination_115_f2_dashed,aqueous,water; HClO4; Ar,BCV
domke_2003_determination_115_f2_dotted,aqueous,water; HClO4; Ar,BCV
domke_2003_determination_115_f2_solid,aqueous,water; HClO4; Ar,BCV
domke_2003_determination_115_f3b_dotted,aqueous,water; HClO4; Ar,BCV
durand_1992_situ_1977_f1a_solid,aqueous,water; HClO4; NaClO4; Cu; Ar,BCV
endo_1999_in-situ_19_f1_a,aqueous,NaBr; water; NaOH,"BCV, HER, SHA"
endo_1999_in-situ_19_f1_b,aqueous,NaBr; water; NaOH,"BCV, HER, SHA"
endres_2006_probing_1377_f11_a,ionic liquid,EMIm-TFSI,BCV
endres_2006_probing_1377_f11_b,ionic liquid,EMIm-TFSI,BCV
endres_2006_probing_1377_f11_c,ionic liquid,EMIm-TFSI,BCV
friedl_2017_interface_216_f1a_lightblue,ionic liquid,BMPyr-TFSI; water,BCV
ganassin_2015_non-covalent_8349_f2a_black,aqueous,water; H2SO4; Ar,BCV
ganassin_2015_non-covalent_8349_f2a_red,aqueous,water; HClO4; Ar,BCV
garcia-araez_2011_enthalpic_501_f1a_black,aqueous,water; HClO4,BCV
garcia-araez_2011_enthalpic_501_f1a_green,aqueous,water; HClO4,BCV
garcia-araez_2011_enthalpic_501_f1a_red,aqueous,water; HClO4,BCV
gasparotto_2009_situ_11140_f1_dashed,ionic liquid,BMPyr-TFSI,BCV
gnahm_2011_purification_250_f1_dashed,ionic liquid,BMIm-PF6,BCV
gnahm_2011_purification_250_f1_solid,ionic liquid,BMIm-PF6,BCV
gomez-marin_2012_pt-111_558_f1_black,aqueous,HClO4; water,BCV
gomez-marin_2012_pt-111_558_f1_blue,aqueous,HClO4; water,BCV
gomez-marin_2012_pt-111_558_f1_red,aqueous,HClO4; water,BCV
gomez-marin_2012_pt-111_558_f2_blue,aqueous,HClO4; water,BCV
gomez-marin_2012_pt-111_558_f2_pink,aqueous,HClO4; water,BCV
gomez-marin_2012_pt-111_558_f2_red,aqueous,HClO4; water,BCV
gomez_1993_electrochemical_189_f1_solid,aqueous,water; H2SO4; Ar,BCV
gomez_2004_effect_228_f1_dotted,aqueous,water; HClO4,BCV
gomez_2004_effect_228_f2_dotted,aqueous,water; HClO4,BCV
gomez_2004_effect_228_f3_dotted,aqueous,water; HClO4,BCV
horswell_2004_comparative_10970_f1a_dashed,aqueous,NaF; water; NaOH,BCV
horswell_2004_comparative_10970_f1a_dotted,aqueous,NaF; water; NaOH,BCV
horswell_2004_comparative_10970_f1a_solid,aqueous,NaF; water; NaOH,BCV
howlett_2006_electrochemistry_1483_f1_au_dashed,ionic liquid,PMPyr-TFSI; water,BCV
howlett_2006_electrochemistry_1483_f1_au_solid,ionic liquid,PMPyr-TFSI; water,BCV
hu_2015_situ_877_f1_a,ionic liquid,EMIm-TFSI; Li-TFSI,BCV
hu_2015_situ_877_f1_b,ionic liquid,EMIm-TFSI; Li-TFSI,BCV
hu_2015_situ_877_f1_c,ionic liquid,EMIm-TFSI; Li-TFSI,BCV
hu_2015_situ_877_f1_d_dashed,ionic liquid,EMIm-TFSI,BCV
hu_2015_situ_877_f1_d_solid,ionic liquid,EMIm-TFSI; Li-TFSI,BCV
jerkiewicz_2009_effect_12309_f1_solid,aqueous,water; H2SO4; CuSO4*H2O; Ar,"BCV, UPD"
jovic_1999_cyclic_247_f1_dashed,aqueous,NaOH; water,BCV
jovic_1999_cyclic_247_f1_solid,aqueous,NaOH; water,BCV
jovic_1999_cyclic_247_f4_solid,aqueous,NaOH; water,BCV
