E / V,j / uA cm-2
0.2389,28.4935
0.2392,28.4998
0.2395,28.5013
0.2398,28.4964
0.2401,28.4859
0.2404,28.4696
0.2407,28.4476
0.241,28.4205
0.2413,28.3887
0.2416,28.3535
0.2419,28.3166
0.2422,28.2795
0.2425,28.2442
0.2428,28.2132
0.2431,28.1884
0.2434,28.172
0.2437,28.166
0.2441,28.1724
0.2444,28.1906
0.2447,28.2185
0.245,28.2537
0.2453,28.2931
0.2456,28.334
0.2459,28.3699
0.2462,28.3977
0.2465,28.4153
0.2468,28.4223
0.2471,28.4172
0.2474,28.4001
0.2477,28.3712
0.248,28.3312
0.2483,28.2823
0.2486,28.2254
0.2489,28.1623
0.2492,28.0948
0.2495,28.0259
0.2499,27.9583
0.2499,27.8942
0.2502,27.8356
0.2505,27.7844
0.2508,27.7401
0.2511,27.7023
0.2514,27.6713
0.2517,27.6465
0.2523,27.6266
0.2523,27.6101
0.2526,27.5972
0.2529,27.5877
0.2532,27.5814
0.2535,27.5771
0.2538,27.5753
0.2541,27.5741
0.2544,27.5724
0.2547,27.5695
0.255,27.5633
0.2553,27.5528
0.2556,27.5379
0.256,27.5178
0.2563,27.4924
0.2566,27.4612
0.2569,27.4247
0.2572,27.3842
0.2575,27.3402
0.2578,27.2947
0.2581,27.2509
0.2584,27.2099
0.2587,27.1714
0.2587,27.1361
0.259,27.1028
0.2593,27.0717
0.2596,27.0417
0.2599,27.0125
0.2602,26.9838
0.2605,26.954
0.2612,26.9235
0.2612,26.8922
0.2614,26.8595
0.2618,26.8254
0.2624,26.7908
0.2627,26.7548
0.2627,26.7179
0.263,26.6802
0.2636,26.6421
0.2636,26.6045
0.2639,26.5675
0.2642,26.5324
0.2645,26.5004
0.2648,26.4695
0.2651,26.4387
0.2654,26.4081
0.2657,26.3756
0.266,26.3414
0.2663,26.3053
0.2666,26.2672
0.2669,26.2276
0.2673,26.1866
0.2676,26.145
0.2679,26.1034
0.2682,26.0623
0.2685,26.0217
0.2688,25.9829
0.2691,25.9452
0.2694,25.9082
0.2697,25.8728
0.27,25.8379
0.2703,25.8035
0.2706,25.769
0.2709,25.7344
0.2712,25.6988
0.2715,25.661
0.2718,25.6202
0.2721,25.5771
0.2724,25.5299
0.2727,25.481
0.2731,25.4319
0.2734,25.3826
0.2737,25.3333
0.274,25.2852
0.2743,25.2377
0.2746,25.1908
0.2749,25.1446
0.2752,25.0979
0.2755,25.0515
0.2758,25.0047
0.2761,24.9572
0.2764,24.9107
0.2767,24.8635
0.277,24.8151
0.2773,24.7655
0.2776,24.7127
0.2779,24.6561
0.2782,24.5951
0.2785,24.5293
0.2788,24.4601
0.2788,24.3869
0.2795,24.3126
0.2798,24.239
0.2798,24.1651
0.2801,24.0916
0.2807,24.0196
0.281,23.9468
0.281,23.874
0.2813,23.8012
0.2816,23.7279
0.2819,23.6553
0.2825,23.5835
0.2825,23.5123
0.2828,23.4441
0.2831,23.3767
0.2834,23.3107
0.2837,23.2455
0.284,23.179
0.2843,23.1103
0.2846,23.0386
0.2849,22.9627
0.2853,22.8828
0.2856,22.7984
0.2859,22.7106
0.2862,22.6196
0.2865,22.5232
0.2868,22.4229
0.2871,22.3189
0.2874,22.2097
0.2877,22.0984
0.288,21.9868
0.2883,21.8762
0.2886,21.7696
0.2889,21.6676
0.2892,21.5718
0.2895,21.4849
0.2898,21.4054
0.2901,21.3335
0.2904,21.2682
0.2907,21.2076
0.291,21.1504
0.2914,21.0963
0.2917,21.0434
0.292,20.9915
0.2923,20.939
0.2926,20.8841
0.2929,20.8246
0.2932,20.759
0.2935,20.6866
0.2938,20.6073
0.2941,20.5203
0.2944,20.4289
0.2947,20.3352
0.295,20.2387
0.2953,20.1401
0.2956,20.0396
0.2959,19.9368
0.2962,19.8328
0.2965,19.7271
0.2968,19.6205
0.2972,19.5146
0.2975,19.4091
0.2978,19.3055
0.2981,19.2054
0.2984,19.1077
0.2987,19.0134
0.299,18.9216
0.2993,18.8306
0.2996,18.7403
0.2999,18.6517
0.2999,18.5649
0.3002,18.4817
0.3008,18.4018
0.3008,18.3265
0.3011,18.2554
0.3017,18.185
0.302,18.1145
0.302,18.0424
0.3026,17.967
0.3026,17.8895
0.303,17.8095
0.3033,17.7272
0.3036,17.6434
0.3039,17.5584
0.3042,17.4725
0.3045,17.3868
0.3048,17.3012
0.3051,17.2176
0.3054,17.1364
0.3057,17.0581
0.306,16.9856
0.3066,16.9203
0.3066,16.8621
0.3069,16.8101
0.3072,16.7615
0.3075,16.7145
0.3078,16.6661
0.3081,16.6126
0.3085,16.5517
0.3087,16.4819
0.3091,16.4029
0.3094,16.3144
0.3097,16.2176
0.31,16.1122
0.3103,16.0007
0.3106,15.8846
0.3109,15.7654
0.3112,15.6461
0.3115,15.5282
0.3118,15.4144
0.3121,15.3057
0.3124,15.2031
0.3127,15.1074
0.313,15.0178
0.3133,14.9327
0.3136,14.8505
0.3139,14.7703
0.3142,14.6917
0.3146,14.6133
0.3149,14.5335
0.3152,14.4519
0.3155,14.3699
0.3158,14.287
0.3161,14.2038
0.3164,14.1215
