E / V,j / uA cm-2
0.4593,26.4896
0.4596,26.2412
0.4599,26.0901
0.4602,26.5004
0.4605,26.1116
0.4608,26.2088
0.4611,26.522
0.4614,26.0793
0.4617,26.36
0.462,26.4464
0.4623,26.0469
0.4626,26.4572
0.4629,26.3168
0.4632,26.0576
0.4635,26.5112
0.4638,26.1872
0.4641,26.1656
0.4644,26.5436
0.4647,26.1008
0.465,26.2736
0.4653,26.4572
0.4656,26.0144
0.4659,26.3816
0.4662,26.3384
0.4665,25.9929
0.4668,26.4464
0.4671,26.2088
0.4674,26.0684
0.4677,26.4896
0.468,26.0793
0.4683,26.1656
0.4686,26.468
0.4689,26.0144
0.4692,26.2952
0.4695,26.36
0.4698,25.9605
0.4701,26.3708
0.4704,26.2196
0.4707,25.9605
0.471,26.3924
0.4713,26.0253
0.4716,25.9929
0.4719,26.36
0.4722,25.9173
0.4725,26.1116
0.4728,26.2952
0.4731,25.8309
0.4734,26.1764
0.4737,26.1224
0.474,25.7985
0.4743,26.252
0.4746,26.0144
0.4749,25.8741
0.4752,26.2628
0.4755,25.8417
0.4758,25.9173
0.4761,26.1764
0.4764,25.7121
0.4767,25.9821
0.477,26.0469
0.4773,25.6365
0.4776,26.0576
0.4779,25.9065
0.4782,25.6473
0.4785,26.0684
0.4788,25.7121
0.4791,25.6797
0.4794,26.0253
0.4797,25.5609
0.48,25.7553
0.4803,25.9065
0.4806,25.4529
0.4809,25.8093
0.4812,25.7553
0.4815,25.4205
0.4818,25.8417
0.4821,25.5501
0.4824,25.3989
0.4827,25.7985
0.483,25.3773
0.4833,25.4637
0.4836,25.7229
0.4839,25.2477
0.4842,25.5177
0.4845,25.5501
0.4848,25.1505
0.4851,25.5501
0.4854,25.3665
0.4857,25.1289
0.486,25.5609
0.4863,25.2045
0.4866,25.1722
0.4869,25.4745
0.4872,25.0102
0.4875,25.1937
0.4878,25.3449
0.4881,24.8806
0.4884,25.2153
0.4887,25.1182
0.489,24.7834
0.4893,25.2153
0.4896,24.9346
0.4899,24.7942
0.4902,25.1614
0.4905,24.7186
0.4908,24.805
0.4911,25.0534
0.4914,24.589
0.4917,24.8482
0.492,24.8698
0.4923,24.4594
0.4926,24.8482
0.4929,24.6646
0.4932,24.427
0.4935,24.8374
