t,E,I
193.52,-0.39830241,3.2235614e-06
193.53,-0.39792421,3.2332186e-06
193.53999,-0.39734474,3.3169147e-06
193.55,-0.39695039,3.2299995e-06
193.56,-0.39638707,3.2412663e-06
193.57001,-0.39583984,3.246095e-06
193.58,-0.39541331,3.2356329e-06
193.59,-0.39479366,3.2597761e-06
193.60001,-0.39441541,3.2275852e-06
193.61,-0.39395669,3.2082708e-06
193.62,-0.39340946,3.2444855e-06
193.63,-0.3929266,3.201028e-06
193.64,-0.39246789,3.1825182e-06
193.64999,-0.3919045,3.2332186e-06
193.66,-0.39146188,3.3104764e-06
193.67,-0.39085832,3.2710427e-06
193.67999,-0.39035937,3.270238e-06
193.69,-0.38989261,3.2847238e-06
193.7,-0.38923267,3.2670189e-06
193.71001,-0.38883838,3.2122946e-06
193.72,-0.38829109,3.1833231e-06
193.73,-0.38783237,3.2114899e-06
193.74001,-0.38756683,3.2670189e-06
193.75,-0.3867701,3.138256e-06
193.75999,-0.38636771,3.1672278e-06
193.77,-0.38584462,3.2050518e-06
193.78,-0.38542613,3.1889565e-06
193.78999,-0.38490304,3.2308044e-06
193.8,-0.38425919,3.1809088e-06
193.81,-0.38387296,3.1809088e-06
193.82001,-0.38340619,3.1857373e-06
193.83,-0.38292328,3.1020415e-06
193.84,-0.382368,3.1277941e-06
193.85001,-0.38191733,3.0803128e-06
193.86,-0.38140228,3.0658268e-06
193.87,-0.38083896,3.162399e-06
193.88,-0.38043657,3.2098803e-06
193.89,-0.37990543,3.1535467e-06
193.89999,-0.37939844,3.1503275e-06
193.91,-0.37882701,3.1149177e-06
193.92,-0.37836024,3.0666317e-06
193.92999,-0.37790957,3.0553649e-06
193.94,-0.37735429,3.0706556e-06
193.95,-0.37687948,3.0352458e-06
193.96001,-0.37636444,3.0626079e-06
193.97,-0.3758494,3.0601934e-06
193.98,-0.37542287,3.0151264e-06
193.99001,-0.37500438,3.0344409e-06
194,-0.37440887,3.03766e-06
194.00999,-0.37404671,2.9789119e-06
194.02,-0.37341091,2.9394782e-06
194.03,-0.37299249,2.881535e-06
194.03999,-0.37239692,2.8944112e-06
