t,E,I
3.1500001,0.093707144,2.6811476e-06
3.1600001,0.094439484,2.6835619e-06
3.1700001,0.094809681,2.6111329e-06
3.1800001,0.095340826,2.5073177e-06
3.1900001,0.095799543,2.509732e-06
3.2,0.096250214,2.4727126e-06
3.21,0.096821599,2.5040986e-06
3.22,0.097296417,2.4952462e-06
3.23,0.097666606,2.5113416e-06
3.24,0.098286279,2.516975e-06
3.25,0.098785236,2.5226084e-06
3.26,0.099300288,2.5314607e-06
3.27,0.099887766,2.4759318e-06
3.28,0.10030625,2.4839794e-06
3.29,0.10075691,2.5000747e-06
3.3,0.10132831,2.4775413e-06
3.3099999,0.10177092,2.4863937e-06
3.3199999,0.10228597,2.5218035e-06
3.3299999,0.10280102,2.5644563e-06
3.3399999,0.1032517,2.4823698e-06
3.3499999,0.10371847,2.478346e-06
3.3599999,0.10422546,2.4276455e-06
3.3699999,0.10471638,2.4397173e-06
3.3800001,0.10529581,2.5000747e-06
3.3900001,0.10578672,2.461446e-06
3.4000001,0.10632591,2.4493743e-06
3.4100001,0.1068812,2.4719079e-06
3.4200001,0.10724335,2.4654698e-06
3.4300001,0.10762963,2.4171836e-06
3.4400001,0.10827345,2.4260362e-06
3.45,0.10862755,2.4212075e-06
3.46,0.10930356,2.4630554e-06
3.47,0.10970594,2.4373028e-06
3.48,0.11032561,2.43006e-06
3.49,0.11066362,2.44696e-06
3.5,0.11124305,2.433279e-06
3.51,0.11175005,2.3592404e-06
3.52,0.11236972,2.4268409e-06
3.53,0.11273991,2.409136e-06
3.54,0.1133274,2.3962598e-06
3.55,0.11373783,2.3560212e-06
3.5599999,0.11423679,2.3423402e-06
3.5699999,0.11480013,2.4171836e-06
3.5799999,0.11533127,2.3753357e-06
3.5899999,0.11570146,2.4437411e-06
3.5999999,0.1162809,2.3745308e-06
3.6099999,0.11677985,2.3326829e-06
3.6199999,0.11721443,2.2691063e-06
3.6300001,0.11780995,2.2707159e-06
3.6400001,0.11822039,2.290835e-06
3.6500001,0.11871934,2.3206114e-06
3.6600001,0.11932292,2.2860065e-06
3.6700001,0.11977359,2.3455593e-06
3.6800001,0.12011159,2.2586444e-06
3.6900001,0.12069907,2.3141733e-06
3.7,0.12123827,2.259449e-06
3.71,0.12176137,2.3407306e-06
3.72,0.12228446,2.314978e-06
3.73,0.12271904,2.2385252e-06
3.74,0.12326628,2.2586444e-06
3.75,0.12375719,2.290835e-06
3.76,0.12409519,2.2312822e-06
3.77,0.12483558,2.2296726e-06
3.78,0.12523797,2.2481822e-06
3.79,0.12576106,2.314978e-06
3.8,0.12626003,2.3069304e-06
3.8099999,0.12679921,2.2956635e-06
3.8199999,0.12741084,2.2409395e-06
3.8299999,0.12779713,2.314978e-06
3.8399999,0.12827194,2.1870198e-06
3.8499999,0.12854557,2.2755444e-06
3.8599999,0.1292779,2.1202243e-06
3.8699999,0.12965614,2.2345012e-06
3.8800001,0.13029996,2.1781675e-06
3.8900001,0.13081501,2.2280631e-06
3.9000001,0.13134615,2.1789722e-06
3.9100001,0.13170829,2.2514014e-06
3.9200001,0.13230383,2.2015058e-06
3.9300001,0.13273841,2.2248441e-06
3.9400001,0.13318908,2.1789722e-06
3.95,0.13388923,2.2747397e-06
3.96,0.1342916,2.1089575e-06
3.97,0.13494347,2.15161e-06
3.98,0.13530561,2.1129813e-06
3.99,0.13581263,2.1982867e-06
4,0.13619891,2.1564388e-06
4.0100002,0.13669786,2.1001049e-06
4.02,0.13714853,2.1508054e-06
4.0300002,0.13765554,2.2336965e-06
4.04,0.13817059,2.0437712e-06
4.0500002,0.13876612,2.1475862e-06
4.0599999,0.13917655,2.0751572e-06
4.0700002,0.1397077,2.0824e-06
4.0799999,0.14022274,2.2369156e-06
4.0900002,0.14064927,1.9987042e-06
4.0999999,0.14122066,2.1475862e-06
4.1100001,0.1416311,2.0872287e-06
4.1199999,0.14225881,2.1805818e-06
4.1300001,0.14270143,2.0711334e-06
4.1399999,0.14316015,2.1089575e-06
4.1500001,0.14362691,2.0526236e-06
4.1599998,0.14413393,2.0920572e-06
4.1700001,0.14468922,2.026871e-06
4.1799998,0.14513184,2.127467e-06
4.1900001,0.14570323,2.0807906e-06
4.1999998,0.14623436,2.0936668e-06
4.21,0.14662871,2.1153955e-06
4.2199998,0.14723228,2.0180187e-06
4.23,0.1474898,2.0638904e-06
4.2399998,0.14825433,2.0413568e-06
4.25,0.14862452,2.0349187e-06
4.2600002,0.14927639,2.0655e-06
4.27,0.14963049,2.0260663e-06
4.2800002,0.1502904,2.0477951e-06
4.29,0.15074912,2.002728e-06
4.3000002,0.15120783,1.9793897e-06
4.3099999,0.15180336,2.0011184e-06
4.3200002,0.15223794,1.9657086e-06
4.3299999,0.15261617,1.9987042e-06
4.3400002,0.1531956,1.9391514e-06
4.3499999,0.15375894,1.9850231e-06
4.3600001,0.15418547,1.8989128e-06
4.3699999,0.15465224,2.0413568e-06
4.3800001,0.15506268,1.9809993e-06
4.3899999,0.15569039,1.9327131e-06
4.4000001,0.15610887,2.0526236e-06
4.4099998,0.15676074,1.995485e-06
4.4200001,0.15717116,1.9608801e-06
4.4299998,0.15771036,1.9753659e-06
4.4400001,0.15828174,1.9415656e-06
4.4499998,0.15873241,2.0888383e-06
4.46,0.15917504,1.9697325e-06
4.4699998,0.15970619,2.0164091e-06
4.48,0.16011661,1.9230558e-06
4.4899998,0.16067995,1.9753659e-06
4.5,0.16112258,1.9270799e-06
4.5100002,0.16166982,1.9874374e-06
4.52,0.16222511,1.9351276e-06
4.5300002,0.16271602,1.9962899e-06
4.54,0.1631345,2.0220425e-06
4.5500002,0.16365761,1.9753659e-06
4.5599999,0.16422093,1.8820127e-06
4.5700002,0.16465551,1.9657086e-06
4.5799999,0.16520275,1.8795985e-06
4.5900002,0.16569366,2.0180187e-06
4.5999999,0.166088,1.9874374e-06
4.6100001,0.16673987,1.9125939e-06
4.6199999,0.16710201,1.9125939e-06
4.6300001,0.16758487,1.83936e-06
4.6399999,0.16825283,1.8779889e-06
4.6500001,0.16867131,1.9391514e-06
4.6599998,0.16916221,1.8876461e-06
4.6700001,0.16966921,1.8771841e-06
4.6799998,0.17016013,1.8562602e-06
4.6900001,0.17065103,1.9101797e-06
4.6999998,0.17122242,1.9101797e-06
4.71,0.17163286,1.8787937e-06
4.7199998,0.17209157,1.9198369e-06
4.73,0.1726388,1.881208e-06
4.7399998,0.17332287,1.8981082e-06
4.75,0.17362063,1.8337266e-06
4.7600002,0.17417592,1.881208e-06
4.77,0.17477144,1.8546507e-06
4.7800002,0.17531869,1.8562602e-06
4.79,0.1755923,1.8562602e-06
4.8000002,0.17618784,1.905351e-06
4.8099999,0.17657413,1.8457982e-06
4.8200002,0.17716965,1.8763794e-06
4.8299999,0.17762032,1.8828175e-06
4.8400002,0.17811929,1.8538459e-06
4.8499999,0.17855386,1.8111932e-06
4.8600001,0.17898843,1.7862453e-06
4.8699999,0.17963225,1.7556641e-06
4.8800001,0.18009096,1.8635031e-06
4.8899999,0.18062212,1.8554554e-06
4.9000001,0.18114521,1.8136075e-06
4.9099998,0.18169245,1.8482125e-06
4.9200001,0.18236846,1.7926835e-06
4.9299998,0.18275474,1.7999264e-06
4.9400001,0.18310079,1.902132e-06
4.9499998,0.1836078,1.8554554e-06
4.96,0.18409066,1.8498221e-06
4.9699998,0.18459767,1.7798072e-06
4.98,0.18523343,1.8474077e-06
4.9899998,0.18573239,1.881208e-06
5,0.18619111,1.8892557e-06
5.0100002,0.18669006,1.8039502e-06
5.02,0.18716487,1.8482125e-06
5.0300002,0.18763164,1.8039502e-06
5.04,0.18805012,1.8715508e-06
5.0500002,0.18864565,1.7749786e-06
5.0599999,0.18911241,1.8313124e-06
5.0700002,0.18957917,1.8031454e-06
5.0799999,0.19017471,1.8554554e-06
5.0900002,0.19062538,1.7725642e-06
5.0999999,0.19115652,1.7822215e-06
5.1100001,0.19164744,1.8345314e-06
5.1199999,0.19216248,1.8474077e-06
5.1300001,0.19256487,1.7725642e-06
5.1399999,0.19318454,1.7910739e-06
5.1500001,0.19360302,1.7588832e-06
5.1599998,0.19417441,1.7790024e-06
5.1700001,0.19460899,1.7991216e-06
5.1799998,0.1950677,1.801536e-06
5.1900001,0.19561495,1.7524451e-06
5.1999998,0.19616218,1.7363498e-06
5.21,0.196637,1.7781977e-06
5.2199998,0.19720033,1.7967074e-06
5.23,0.19757858,1.7347402e-06
5.2399998,0.19813387,1.7637118e-06
5.25,0.19853625,1.6816255e-06
5.2600002,0.19919616,1.7476165e-06
5.27,0.19949393,1.8119979e-06
5.2800002,0.20002507,1.828898e-06
5.29,0.20054817,1.8007312e-06
5.3000002,0.20120004,1.7588832e-06
5.3099999,0.20161851,1.7323259e-06
5.3200002,0.20215771,1.7234735e-06
5.3299999,0.20264056,1.7548593e-06
5.3400002,0.20321999,1.8643078e-06
5.3499999,0.20354995,1.7653214e-06
5.3600001,0.20404892,1.7460069e-06
5.3699999,0.2045881,1.7677356e-06
5.3800001,0.20501463,1.7105971e-06
5.3899999,0.20552164,1.7403736e-06
5.4000001,0.20608498,1.6792112e-06
5.4099998,0.20673683,1.77015e-06
5.4200001,0.20717946,1.7178401e-06
5.4299998,0.2077267,1.8691364e-06
5.4400001,0.20812909,1.7266925e-06
5.4499998,0.20862804,1.7460069e-06
5.46,0.20904653,1.7862453e-06
5.4699998,0.20952938,1.7170353e-06
5.48,0.21013296,1.6735778e-06
5.4899998,0.21053535,1.7339354e-06
5.5,0.21100211,1.7202543e-06
5.5100002,0.21162982,1.6920875e-06
5.52,0.21212879,1.7612975e-06
5.5300002,0.21259555,1.7460069e-06
5.54,0.2131106,1.6912827e-06
5.5500002,0.21356127,1.7170353e-06
5.5599999,0.21408437,1.7138162e-06
5.5700002,0.21458332,1.794293e-06
5.5799999,0.21510643,1.6824303e-06
5.5900002,0.21560538,1.6196583e-06
5.5999999,0.21616872,1.6912827e-06
5.6100001,0.21657915,1.6389728e-06
5.6199999,0.21708615,1.6928922e-06
5.6300001,0.21771388,1.7210591e-06
5.6399999,0.21806797,1.7001352e-06
5.6500001,0.21857497,1.7427878e-06
5.6599998,0.21905784,1.7379592e-06
5.6700001,0.21958093,1.7806119e-06
5.6799998,0.22011209,1.6880637e-06
5.6900001,0.22061908,1.7725642e-06
5.6999998,0.22110195,1.7798072e-06
5.71,0.22150433,1.6784064e-06
5.7199998,0.22222863,1.7588832e-06
5.73,0.22243786,1.7291068e-06
5.7399998,0.2229851,1.6864541e-06
5.75,0.22353235,1.7403736e-06
5.7600002,0.22404741,1.7556641e-06
5.77,0.22443369,1.7548593e-06
5.7800002,0.22505336,1.6751874e-06
5.79,0.22545575,1.662311e-06
5.8000002,0.22613175,1.6244869e-06
5.8099999,0.22661461,1.7242781e-06
5.8200002,0.22707333,1.7186449e-06
5.8299999,0.22751595,1.704159e-06
5.8400002,0.22809538,1.6679444e-06
5.8499999,0.22856215,1.7661262e-06
5.8600001,0.22906916,1.7291068e-06
5.8699999,0.22965664,1.7363498e-06
5.8800001,0.22997855,1.7645166e-06
5.8899999,0.23059821,1.6985256e-06
5.9000001,0.23104084,1.77015e-06
5.9099998,0.23140298,1.7234735e-06
5.9200001,0.23201461,1.7339354e-06
5.9299998,0.2325377,1.6767968e-06
5.9400001,0.23301251,1.7709548e-06
5.9499998,0.23362415,1.7234735e-06
5.96,0.23413114,1.7081828e-06
5.9699998,0.23448524,1.728302e-06
5.98,0.23504053,1.7186449e-06
5.9899998,0.23546706,1.6534585e-06
6,0.23605454,1.7926835e-06
6.0100002,0.23662592,1.714621e-06
6.02,0.23700416,1.7532499e-06
6.0300002,0.23747899,1.7556641e-06
6.04,0.23800208,1.7065732e-06
6.0500002,0.23857346,1.804755e-06
6.0599999,0.23905633,1.8248742e-06
6.0700002,0.23953919,1.8506269e-06
6.0799999,0.24000596,1.7097924e-06
6.0900002,0.24052905,1.7186449e-06
6.0999999,0.24111654,1.7757834e-06
6.1100001,0.24159135,1.7814167e-06
6.1199999,0.24213859,1.7580785e-06
6.1300001,0.24256511,1.6953065e-06
6.1399999,0.24301578,1.7669309e-06
6.1500001,0.24353889,1.8240695e-06
6.1599998,0.24410222,1.7548593e-06
6.1700001,0.24448046,1.7918787e-06
6.1799998,0.24508405,1.7862453e-06
6.1900001,0.24551056,1.8144123e-06
6.1999998,0.24609804,1.7790024e-06
6.21,0.24650043,1.7347402e-06
6.2199998,0.2471201,1.7588832e-06
6.23,0.24765125,1.8192409e-06
6.2399998,0.24815021,1.8594792e-06
6.25,0.24857673,1.8514315e-06
6.2600002,0.24906765,1.7894644e-06
6.27,0.2495666,1.8626984e-06
6.2800002,0.25004143,1.8128027e-06
6.29,0.2505967,1.8570649e-06
6.3000002,0.250983,1.8932795e-06
6.3099999,0.25161874,1.9174227e-06
6.3200002,0.25204527,1.8554554e-06
6.3299999,0.25266495,1.8506269e-06
6.3400002,0.25308344,1.8651126e-06
6.3499999,0.25346974,1.9222512e-06
6.3600001,0.25401697,1.894889e-06
6.3699999,0.25463665,1.8626984e-06
6.3800001,0.25503099,1.957661e-06
6.3899999,0.25554603,2.009971e-06
6.4000001,0.25614154,2.1266624e-06
6.4099998,0.25663248,1.9987042e-06
6.4200001,0.25699461,2.0542332e-06
6.4299998,0.25750965,2.0413568e-06
6.4400001,0.25800863,2.158853e-06
6.4499998,0.25854781,2.0848145e-06
6.46,0.25905481,2.1009098e-06
6.4699998,0.25949743,2.1443673e-06
6.48,0.26006079,2.2031154e-06
6.4899998,0.26051146,2.1781675e-06
6.5,0.26096213,2.2449633e-06
6.5100002,0.26147717,2.2433537e-06
6.52,0.26193589,2.3890168e-06
6.5300002,0.26252335,2.3246353e-06
6.54,0.26299819,2.3664832e-06
6.5500002,0.26352933,2.4952462e-06
6.5599999,0.26404437,2.4968558e-06
6.5700002,0.264487,2.680343e-06
6.5799999,0.26496181,2.6932191e-06
6.5900002,0.26541248,2.9016542e-06
6.5999999,0.26591143,3.0191502e-06
6.6100001,0.26660353,3.1100892e-06
6.6199999,0.26690131,3.3056479e-06
6.6300001,0.26744854,3.4424584e-06
6.6399999,0.26799577,3.6436504e-06
6.6500001,0.26847866,3.8553044e-06
6.6599998,0.26897761,3.8561093e-06
6.6700001,0.26946852,4.1128305e-06
6.6799998,0.26993528,4.1860644e-06
6.6900001,0.27056301,4.0774207e-06
6.6999998,0.27100563,3.8746189e-06
6.71,0.27152067,3.8343805e-06
6.7199998,0.27199548,3.5575404e-06
6.73,0.27242202,3.3660053e-06
6.7399998,0.27292901,3.1334273e-06
6.75,0.27358893,3.0312219e-06
6.7600002,0.2740396,2.9000446e-06
6.77,0.27457073,2.7922056e-06
6.7800002,0.27497312,2.6948287e-06
6.79,0.27548012,2.5757231e-06
6.8000002,0.27593884,2.5282416e-06
6.8099999,0.27655047,2.5226084e-06
6.8200002,0.27700114,2.3890168e-06
6.8299999,0.27741963,2.3254402e-06
6.8400002,0.27806345,2.2328918e-06
6.8499999,0.27839339,2.2135773e-06
6.8600001,0.27910963,2.1596579e-06
