E,<I>,I (raw),j,j
V vs. RHE,mA,\g(m)A,\g(m)A cm\+(-2),mA cm\+(-2)
0.43165961,-0.00783746485669529,-7.83746485669529,-27.7193616278237,-0.0277193616278237
0.43066132,-0.00751086419849239,-7.51086419849239,-26.5642480907113,-0.0265642480907113
0.4296675,-0.00721717183639867,-7.21717183639867,-25.5255238423658,-0.0255255238423658
0.42866522,-0.00695315723714884,-6.95315723714884,-24.5917632086094,-0.0245917632086094
0.42766654,-0.00671778200719722,-6.71778200719722,-23.7592936235385,-0.0237592936235385
0.42664915,-0.0065072334174248,-6.5072334174248,-23.0146303163539,-0.0230146303163539
0.42566979,-0.00631912918793709,-6.31912918793709,-22.3493476954769,-0.0223493476954769
0.42466328,-0.00614580360949429,-6.14580360949429,-21.7363338605117,-0.0217363338605117
0.42366034,-0.00598557807582738,-5.98557807582738,-21.1696519562312,-0.0211696519562312
0.42268035,-0.00583784542565506,-5.83784542565506,-20.6471545888758,-0.0206471545888758
0.4216606,-0.00570162651355428,-5.70162651355428,-20.1653787399105,-0.0201653787399105
0.42066574,-0.00557753922071746,-5.57753922071746,-19.7265097170245,-0.0197265097170245
0.41967577,-0.00546425763483662,-5.46425763483662,-19.3258580647084,-0.0193258580647084
0.4186824,-0.00536081277378898,-5.36081277378898,-18.9599967097487,-0.0189599967097487
0.41757321,-0.00526559916610813,-5.26559916610813,-18.6232474583705,-0.0186232474583705
0.41649911,-0.00516825626174167,-5.16825626174167,-18.2789673604851,-0.0182789673604851
0.41550133,-0.0050488366428504,-5.0488366428504,-17.8566068571807,-0.0178566068571807
0.41453648,-0.00492068819100193,-4.92068819100193,-17.4033744224861,-0.0174033744224861
0.41356036,-0.00481368630062205,-4.81368630062205,-17.0249326497275,-0.0170249326497275
0.4125948,-0.0047453013398303,-4.7453013398303,-16.7830703265464,-0.0167830703265464
0.41163126,-0.00470864976806398,-4.70864976806398,-16.6534419083531,-0.0166534419083531
0.4106538,-0.00468778900176402,-4.68778900176402,-16.579662040057,-0.016579662040057
0.40967068,-0.00466901848024764,-4.66901848024764,-16.5132749004183,-0.0165132749004183
0.40868038,-0.0046421862938991,-4.6421862938991,-16.4183754539442,-0.0164183754539442
0.40768364,-0.00460153448956488,-4.60153448956488,-16.2745991071576,-0.0162745991071576
0.4066655,-0.0045496254618532,-4.5496254618532,-16.0910084771263,-0.0160910084771263
0.40566394,-0.00449148837085685,-4.49148837085685,-15.8853905791474,-0.0158853905791474
